session_id,variant,completed,completion_time_sec,questions_answered,revision_events,friction_events,engagement_depth
A047,A,1,1538.7,10,1,0,1.0
A048,A,0,1473.6,6,1,0,0.6
A049,A,0,1107.2,7,0,0,0.7
A050,A,1,1944.6,10,2,0,1.0
A051,A,0,1406.0,5,1,0,0.5
A052,A,1,1412.6,10,2,0,1.0
A053,A,0,1358.7,8,1,0,0.8
A054,A,0,1802.4,3,0,0,0.3
A055,A,1,1800.5,10,2,0,1.0
A056,A,1,2109.0,10,3,0,1.0
A057,A,1,1732.8,10,1,0,1.0
A058,A,1,1188.7,10,1,0,1.0
A059,A,1,1722.0,10,2,0,1.0
A060,A,0,1482.6,5,0,0,0.5
A061,A,0,845.8,4,1,0,0.4
A062,A,1,1389.9,10,5,0,1.0
A063,A,1,1743.6,10,3,0,1.0
A064,A,0,920.8,4,0,0,0.4
A065,A,0,2067.4,7,0,0,0.7
A066,A,0,659.4,9,1,0,0.9
A067,A,0,1329.0,8,1,0,0.8
A068,A,1,1875.9,10,3,0,1.0
A069,A,1,2043.8,10,1,0,1.0
A070,A,0,1599.3,2,0,0,0.2
A071,A,0,837.4,4,0,0,0.4
A072,A,1,1554.5,10,2,0,1.0
A073,A,1,1710.8,10,1,0,1.0
A074,A,1,1606.5,10,3,0,1.0
A075,A,1,1614.7,10,3,0,1.0
A076,A,0,1368.3,6,2,0,0.6
A077,A,1,1433.2,10,0,0,1.0
A078,A,1,1772.7,10,1,0,1.0
A079,A,0,1103.4,8,2,0,0.8
A080,A,1,1406.2,10,3,0,1.0
A081,A,1,1770.0,10,2,0,1.0
A082,A,1,1501.3,10,0,0,1.0
A083,A,0,1563.5,7,1,0,0.7
A084,A,0,984.9,2,0,0,0.2
A085,A,1,2001.3,10,1,0,1.0
A086,A,1,1595.2,10,4,0,1.0
A087,A,0,1036.6,9,1,0,0.9
A088,A,1,1203.5,10,0,0,1.0
A089,A,0,784.8,1,0,1,0.1
A090,A,0,1825.8,8,1,0,0.8
A091,A,0,1255.7,2,0,0,0.2
A092,A,0,1268.7,7,2,0,0.7
A093,A,0,1033.4,5,1,0,0.5
A094,A,0,1574.8,6,3,0,0.6
A095,A,1,1533.5,10,1,0,1.0
B001,B,0,2395.6,5,0,1,0.5
B002,B,1,1591.3,10,0,0,1.0
B003,B,1,3531.0,10,0,0,1.0
B004,B,1,2074.7,10,1,0,1.0
B005,B,1,2480.1,10,0,0,1.0
B006,B,1,2509.3,10,0,0,1.0
B007,B,1,2785.6,10,1,0,1.0
B008,B,0,2008.0,2,0,1,0.2
B009,B,0,1293.4,3,0,0,0.3
B010,B,0,1525.7,8,2,0,0.8
B011,B,1,2458.9,10,0,1,1.0
B012,B,1,1863.4,10,2,0,1.0
B013,B,0,1363.2,8,0,0,0.8
B014,B,0,1462.4,6,0,1,0.6
B015,B,1,2481.6,10,0,0,1.0
B016,B,0,2019.2,7,0,0,0.7
B017,B,1,2675.8,10,0,0,1.0
B018,B,1,2169.0,10,0,1,1.0
B019,B,1,2802.6,10,0,0,1.0
B020,B,1,2915.8,10,0,0,1.0
B021,B,0,1283.6,9,0,0,0.9
B022,B,1,2837.7,10,1,0,1.0
B023,B,0,1835.5,4,0,0,0.4
B024,B,1,2106.4,10,0,0,1.0
B025,B,1,2311.5,10,1,0,1.0
B026,B,1,2427.7,10,1,0,1.0
B027,B,1,2250.9,10,2,0,1.0
B028,B,0,1860.1,9,0,0,0.9
B029,B,1,2344.2,10,0,0,1.0
B030,B,0,120.0,6,0,0,0.6
B031,B,0,1197.4,7,1,0,0.7
B032,B,1,2523.1,10,0,0,1.0
B033,B,1,2156.2,10,0,0,1.0
B034,B,0,1549.4,9,1,0,0.9
B035,B,0,1875.1,9,0,0,0.9
B036,B,0,2110.7,9,0,0,0.9
B037,B,1,3569.4,10,0,1,1.0
B038,B,1,2674.4,10,0,0,1.0
B039,B,0,1626.0,8,0,0,0.8
B040,B,1,1619.5,10,1,0,1.0
B041,B,1,2632.5,10,1,0,1.0
B042,B,0,1566.7,9,0,0,0.9
B043,B,0,1485.0,5,0,0,0.5
B044,B,1,1929.6,10,2,1,1.0
B045,B,1,1391.0,10,1,0,1.0
B046,B,1,2998.8,10,0,1,1.0
B047,B,0,2499.7,8,0,0,0.8
B048,B,1,2068.6,10,0,0,1.0
B049,B,1,2790.5,10,0,0,1.0
B050,B,0,1778.8,9,1,0,0.9
B051,B,0,1596.4,5,0,0,0.5
B052,B,0,2116.1,9,0,1,0.9
B053,B,0,1889.8,6,0,0,0.6
B054,B,0,1658.7,8,1,0,0.8
B055,B,1,2713.8,10,0,0,1.0
B056,B,1,2262.3,10,1,1,1.0
B057,B,1,2612.7,10,0,0,1.0
B058,B,0,1387.4,9,0,0,0.9
B059,B,1,2514.0,10,1,1,1.0
B060,B,1,2098.9,10,0,0,1.0
B061,B,1,2134.9,10,0,0,1.0
B062,B,0,2629.9,6,0,1,0.6
B063,B,0,2420.9,9,2,0,0.9
B064,B,0,936.4,6,0,1,0.6
B065,B,1,2744.9,10,0,0,1.0
B066,B,1,2218.5,10,0,0,1.0
B067,B,0,2004.7,7,2,0,0.7
B068,B,1,2488.1,10,0,0,1.0
B069,B,1,2331.9,10,2,0,1.0
B070,B,1,2737.4,10,0,1,1.0
B071,B,1,2024.3,10,0,0,1.0
